region_id,year,ecozone,ecosystem,action,top_count,top5_frequency
0,2023,Hudson Plains,peatland,protect,0,0.0
1,2023,Taiga Plains,wetland,protect,0,0.0
2,2023,Mixedwood Plains,forest,protect,0,0.0
3,2023,Pacific Maritime,forest,protect,0,0.0
4,2023,Boreal Shield,riparian,protect,7,0.023333333333333334
5,2023,Montane Cordillera,wetland,protect,0,0.0
6,2023,Hudson Plains,peatland,protect,46,0.15333333333333332
7,2023,Hudson Plains,forest,protect,0,0.0
8,2023,Boreal Shield,forest,protect,0,0.0
9,2023,Taiga Plains,wetland,protect,0,0.0
10,2023,Prairies,grassland,protect,0,0.0
11,2023,Mixedwood Plains,riparian,protect,0,0.0
12,2023,Pacific Maritime,riparian,protect,0,0.0
13,2023,Hudson Plains,riparian,protect,0,0.0
14,2023,Taiga Plains,riparian,protect,116,0.38666666666666666
15,2023,Boreal Plains,riparian,protect,0,0.0
16,2023,Atlantic Maritime,forest,protect,0,0.0
17,2023,Boreal Shield,forest,protect,0,0.0
18,2023,Hudson Plains,wetland,protect,1,0.0033333333333333335
19,2023,Pacific Maritime,forest,protect,0,0.0
20,2023,Hudson Plains,forest,protect,0,0.0
21,2023,Prairies,grassland,protect,0,0.0
22,2023,Montane Cordillera,forest,protect,0,0.0
23,2023,Mixedwood Plains,wetland,protect,0,0.0
24,2023,Hudson Plains,forest,protect,0,0.0
25,2023,Boreal Plains,forest,protect,0,0.0
26,2023,Taiga Plains,forest,protect,4,0.013333333333333334
27,2023,Boreal Shield,grassland,protect,0,0.0
28,2023,Boreal Shield,wetland,protect,0,0.0
29,2023,Pacific Maritime,wetland,protect,0,0.0
30,2023,Hudson Plains,wetland,protect,0,0.0
31,2023,Montane Cordillera,forest,protect,0,0.0
32,2023,Prairies,grassland,protect,0,0.0
33,2023,Prairies,grassland,protect,0,0.0
34,2023,Taiga Plains,peatland,protect,0,0.0
35,2023,Boreal Plains,forest,protect,0,0.0
36,2023,Boreal Shield,riparian,protect,0,0.0
37,2023,Taiga Plains,forest,protect,0,0.0
38,2023,Boreal Plains,grassland,protect,0,0.0
39,2023,Pacific Maritime,forest,protect,0,0.0
40,2023,Taiga Plains,wetland,protect,0,0.0
41,2023,Mixedwood Plains,riparian,protect,0,0.0
42,2023,Pacific Maritime,forest,protect,0,0.0
43,2023,Prairies,grassland,protect,0,0.0
44,2023,Mixedwood Plains,wetland,protect,0,0.0
45,2023,Hudson Plains,wetland,protect,24,0.08
46,2023,Prairies,grassland,protect,0,0.0
47,2023,Boreal Plains,grassland,protect,0,0.0
48,2023,Pacific Maritime,riparian,protect,0,0.0
49,2023,Boreal Shield,forest,protect,0,0.0
50,2023,Boreal Plains,wetland,protect,0,0.0
51,2023,Boreal Shield,forest,protect,0,0.0
52,2023,Hudson Plains,wetland,protect,16,0.05333333333333334
53,2023,Pacific Maritime,forest,protect,0,0.0
54,2023,Pacific Maritime,riparian,protect,95,0.31666666666666665
55,2023,Hudson Plains,grassland,protect,0,0.0
56,2023,Taiga Plains,peatland,protect,0,0.0
57,2023,Atlantic Maritime,forest,protect,0,0.0
58,2023,Boreal Shield,forest,protect,0,0.0
59,2023,Boreal Shield,wetland,protect,72,0.24
60,2023,Pacific Maritime,forest,protect,0,0.0
61,2023,Taiga Plains,peatland,protect,0,0.0
62,2023,Atlantic Maritime,forest,protect,0,0.0
63,2023,Hudson Plains,forest,protect,0,0.0
64,2023,Pacific Maritime,riparian,protect,6,0.02
65,2023,Atlantic Maritime,forest,protect,0,0.0
66,2023,Atlantic Maritime,riparian,protect,9,0.03
67,2023,Boreal Plains,forest,protect,0,0.0
68,2023,Boreal Shield,wetland,protect,0,0.0
69,2023,Taiga Plains,wetland,protect,300,1.0
70,2023,Boreal Plains,forest,protect,0,0.0
71,2023,Prairies,forest,protect,0,0.0
72,2023,Mixedwood Plains,forest,protect,0,0.0
73,2023,Boreal Plains,riparian,protect,0,0.0
74,2023,Boreal Shield,forest,protect,0,0.0
75,2023,Boreal Plains,wetland,protect,210,0.7
76,2023,Boreal Plains,forest,protect,0,0.0
77,2023,Pacific Maritime,forest,protect,0,0.0
78,2023,Atlantic Maritime,wetland,protect,0,0.0
79,2023,Hudson Plains,forest,protect,0,0.0
80,2023,Pacific Maritime,riparian,protect,0,0.0
81,2023,Prairies,grassland,protect,0,0.0
82,2023,Hudson Plains,peatland,protect,0,0.0
83,2023,Boreal Shield,forest,protect,0,0.0
84,2023,Boreal Shield,forest,protect,0,0.0
85,2023,Boreal Shield,riparian,protect,44,0.14666666666666667
86,2023,Pacific Maritime,forest,protect,0,0.0
87,2023,Taiga Plains,forest,protect,0,0.0
88,2023,Boreal Shield,forest,protect,0,0.0
89,2023,Taiga Plains,peatland,protect,0,0.0
90,2023,Boreal Shield,wetland,protect,100,0.3333333333333333
91,2023,Pacific Maritime,peatland,protect,0,0.0
92,2023,Taiga Plains,peatland,protect,0,0.0
93,2023,Prairies,peatland,protect,0,0.0
94,2023,Boreal Plains,riparian,protect,0,0.0
95,2023,Pacific Maritime,forest,protect,0,0.0
